,Unnamed: 0,dataOpNetFlg,secFutrsLawId,secFutrsLawNbr,secFutrsLawName,secFutrsLawNameAnno,wtAnttnSecFutrsLawName,secFutrsLawVersion,fileno,body,draftDscrTitle,draftDscr,draftDscrAnno,bodyAgoCntnt,bodyAgoCntntAnno,bodyAftCntnt,bodyAftCntntAnno,pubDate,efctvDate,inefctvDate,lawAthrtyStsCde,fileNbr,visitCnt,draftPsnId,draftPsnName,draftPsnOrgId,draftPsnOrgName,draftTime,auditPsnId,auditPsnName,auditPsnOrgId,auditPsnOrgName,auditTime,issuePsnId,issuePsnName,issuePsnOrgId,issuePsnOrgName,issueTime,cnclIssuePsnId,cnclIssuePsnName,cnclIssuePsnOrgId,cnclIssuePsnOrgName,cnclIssueTime,lawDataStsCde,auditPassIndc,openLvlCde,stktTnReguIndc,deltIndc,olEntrTime,olLastAlterTime,secFutrsLawAndLawPubOrgRltnId,lawPubOrgId,lawPubOrgName,supvLawPubOrgId,supvLawPubOrgName,lawPubOrgCde,lawPubOrgHrrc,nbr,olDataOpTm,nonPkEmpty,nonPkNull,empty,null,pkNull,pkEmpty,id
0,0,,54f151d6ff0a425695295747984d081c,2467,国务院办公厅关于贯彻实施修订后的证券法有关工作的通知,,,20200229,国办发〔2020〕5号,,,,,,,,,1582934400000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中华人民共和国国务院办公厅,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
1,1,,0fc431a2a10b47909beef058f6ac3335,1001,中华人民共和国证券法(2019修订),,,20191230,主席令第37号,,,,,,,,,1577491200000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全国人民代表大会常务委员会,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
2,2,,8f277407c64e4150850648137b0ad07b,1101,中华人民共和国合伙企业登记管理办法,,,20190302,国务院令第709号,,,,,,,,,1551484800000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国务院,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
3,3,,dc42cd1117744331b22850b0071d512f,1076,中华人民共和国公司法(2018修正),,,20181026,主席令第15号,,,,,,,,,1540512000000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全国人民代表大会常务委员会,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
4,4,,746126805393961444,2097,最高人民法院关于上海金融法院案件管辖的规定,,,20180807,法释〔2018〕14号,,,,,,,,,1533600000000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,最高人民法院,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
5,5,,746126805393976365,2099,国务院关于积极有效利用外资推动经济高质量发展若干措施的通知,,,20180610,国发〔2018〕19号,,,,,,,,,1528588800000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国务院,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
6,6,,745777672757626842,2073,国务院办公厅转发证监会关于开展创新企业境内发行股票或存托凭证试点若干意见的通知,,,20180322,国办发〔2018〕21号,,,,,,,,,1521676800000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国务院办公厅,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
7,7,,746126805394181128,2156,国务院办公厅关于全面推进金融业综合统计工作的意见,,,20180318,国办发〔2018〕18号,,,,,,,,,1521331200000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国务院办公厅,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
8,8,,745777672755091462,2068,全国人民代表大会常务委员会关于延长授权国务院在实施股票发行注册制改革中调整适用《中华人民共和国证券法》有关规定期限的决定,,,20180224,,,,,,,,,,1519430400000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全国人民代表大会常务委员会,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
9,9,,746126805381827615,1932,国务院办公厅关于深化产教融合的若干意见（节录）,,,20171205,国办发〔2017〕95号,,,,,,,,,1512432000000.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国务院办公厅,,,,,,,False,False,False,False,False,False,ba2e1f2cd87f4f65a12173ec4d1c1b6f
