,章#,章,序号,条款,结构
0,第一章,总则,第一条,为指导银行业金融机构加强数据治理，提高数据质量，发挥数据价值，提升经营管理能力，根据《中华人民共和国银行业监督管理法》等法律法规，制定本指引。,第一章 总则/第一条
1,第一章,总则,第二条,本指引适用于中华人民共和国境内经银行业监督管理机构批准设立的银行业金融机构。本指引所称银行业金融机构，是指在中华人民共和国境内设立的商业银行、农村信用合作社等吸收公众存款的金融机构、政策性银行以及国家开发银行。,第一章 总则/第二条
2,第一章,总则,第三条,数据治理是指银行业金融机构通过建立组织架构，明确董事会、监事会、高级管理层及内设部门等职责要求，制定和实施系统化的制度、流程和方法，确保数据统一管理、高效运行，并在经营管理中充分发挥价值的动态过程。,第一章 总则/第三条
3,第一章,总则,第四条,银行业金融机构应当将数据治理纳入公司治理范畴，建立自上而下、协调一致的数据治理体系。,第一章 总则/第四条
4,第一章,总则,第五条,银行业金融机构数据治理应当遵循以下基本原则：（一）全覆盖原则。数据治理应当覆盖数据的全生命周期，覆盖业务经营、风险管理和内部控制流程中的全部数据，覆盖内部数据和外部数据，覆盖监管数据，覆盖所有分支机构和附属机构。（二）匹配性原则。数据治理应当与管理模式、业务规模、风险状况等相适应，并根据情况变化进行调整。（三）持续性原则。数据治理应当持续开展，建立长效机制。（四）有效性原则。数据治理应当推动数据真实准确客观反映银行业金融机构实际情况，并有效应用于经营管理。,第一章 总则/第五条
5,第一章,总则,第六条,银行业金融机构应当将监管数据纳入数据治理，建立工作机制和流程，确保监管数据报送工作有效组织开展，监管数据质量持续提升。法定代表人或主要负责人对监管数据质量承担最终责任。,第一章 总则/第六条
6,第一章,总则,第七条,银行业监督管理机构依据本指引对银行业金融机构数据治理情况实施监管。,第一章 总则/第七条
7,第二章,数据治理架构,第八条,银行业金融机构应当建立组织架构健全、职责边界清晰的数据治理架构，明确董事会、监事会、高级管理层和相关部门的职责分工，建立多层次、相互衔接的运行机制。,第二章 数据治理架构/第八条
8,第二章,数据治理架构,第九条,银行业金融机构董事会应当制定数据战略，审批或授权审批与数据治理相关的重大事项，督促高级管理层提升数据治理有效性，对数据治理承担最终责任。,第二章 数据治理架构/第九条
9,第二章,数据治理架构,第十条,银行业金融机构监事会负责对董事会和高级管理层在数据治理方面的履职尽责情况进行监督评价。,第二章 数据治理架构/第十条
10,第二章,数据治理架构,第十一条,银行业金融机构高级管理层负责建立数据治理体系，确保数据治理资源配置，制定和实施问责和激励机制，建立数据质量控制机制，组织评估数据治理的有效性和执行情况，并定期向董事会报告。银行业金融机构可根据实际情况设立首席数据官。首席数据官是否纳入高级管理人员由银行业金融机构根据经营状况确定；纳入高级管理人员管理的，应当符合相关行政许可事项的要求。,第二章 数据治理架构/第十一条
11,第二章,数据治理架构,第十二条,银行业金融机构应当确定并授权归口管理部门牵头负责实施数据治理体系建设，协调落实数据管理运行机制，组织推动数据在经营管理流程中发挥作用，负责监管数据相关工作，设置监管数据相关工作专职岗位。,第二章 数据治理架构/第十二条
12,第二章,数据治理架构,第十三条,业务部门应当负责本业务领域的数据治理，管理业务条线数据源，确保准确记录和及时维护，落实数据质量控制机制，执行监管数据相关工作要求，加强数据应用，实现数据价值。,第二章 数据治理架构/第十三条
13,第二章,数据治理架构,第十四条,银行业金融机构应当在数据治理归口管理部门设立满足工作需要的专职岗位，在其他相关业务部门设置专职或兼职岗位。,第二章 数据治理架构/第十四条
14,第二章,数据治理架构,第十五条,银行业金融机构应当建立一支满足数据治理工作需要的专业队伍，至少按年度对人员进行系统培训，科学规划职业成长通道，确定合理薪酬水平。,第二章 数据治理架构/第十五条
15,第二章,数据治理架构,第十六条,银行业金融机构应当建立良好的数据文化，树立数据是重要资产和数据应真实客观的理念与准则，强化用数意识，遵循依规用数、科学用数的职业操守。,第二章 数据治理架构/第十六条
16,第三章,数据管理,第十七条,银行业金融机构应当结合自身发展战略、监管要求等，制定数据战略并确保有效执行和修订。,第三章 数据管理/第十七条
17,第三章,数据管理,第十八条,银行业金融机构应当制定全面科学有效的数据管理制度，包括但不限于组织管理、部门职责、协调机制、安全管控、系统保障、监督检查和数据质量控制等方面。银行业金融机构应当根据监管要求和实际需要，持续评价更新数据管理制度。,第三章 数据管理/第十八条
18,第三章,数据管理,第十九条,银行业金融机构应当制定与监管数据相关的监管统计管理制度和业务制度，及时发布并定期评价和更新，报银行业监督管理机构备案。制度出现重大变化的，应当及时向银行业监督管理机构报告。,第三章 数据管理/第十九条
19,第三章,数据管理,第二十条,银行业金融机构应当建立覆盖全部数据的标准化规划，遵循统一的业务规范和技术标准。数据标准应当符合国家标准化政策及监管规定，并确保被有效执行。,第三章 数据管理/第二十条
20,第三章,数据管理,第二十一条,银行业金融机构应当持续完善信息系统，覆盖各项业务和管理数据。信息系统应当有完备的数据字典和维护流程，并具有可拓展性。,第三章 数据管理/第二十一条
21,第三章,数据管理,第二十二条,银行业金融机构应当建立适应监管数据报送工作需要的信息系统，实现流程控制的程序化，提高监管数据加工的自动化程度。,第三章 数据管理/第二十二条
22,第三章,数据管理,第二十三条,银行业金融机构应当加强数据采集的统一管理，明确系统间数据交换流程和标准，实现各类数据有效共享。,第三章 数据管理/第二十三条
23,第三章,数据管理,第二十四条,银行业金融机构应当建立数据安全策略与标准，依法合规采集、应用数据，依法保护客户隐私，划分数据安全等级，明确访问和拷贝等权限，监控访问和拷贝等行为，完善数据安全技术，定期审计数据安全。银行业金融机构采集、应用数据涉及到个人信息的，应遵循国家个人信息保护法律法规要求，符合与个人信息安全相关的国家标准。,第三章 数据管理/第二十四条
